,ID,ID_LOCALITY,ID_MUNICIPALITY,UC_COL_ID_05,UC_COL_ID_03,UC_COL_ID_01
208,6001200020,1,111,TR,60,600120
209,4404020920,1,101,TG,44,440402
210,4404030482,1,101,TR,44,440403
211,4404050050,1,101,TR,44,440405
212,4404070445,1,101,TR,44,440407
213,4404072320,1,101,TR,44,440407
214,4404140100,1,101,TR,44,440414
215,4404160900,1,101,TR,44,440416
216,4404160900,1,101,TR,44,440416
217,4404180820,1,101,TG,44,440418
218,4404180960,1,101,TR,44,440418
219,4404181340,1,101,TR,44,440418
220,4404220160,1,101,TR,44,440422
221,4404240320,1,101,TR,44,440424
222,4404260480,1,101,TR,44,440426
223,4818420520,1,101,TR,48,481842
224,2201910240,1,110,TR,22,220191
225,0503600486,1,101,TG,05,050360
226,1804640980,1,108,TR,18,180464
227,7401793320,1,115,TG,74,740179
228,8816508220,1,107,TR,88,881650
229,8807201940,1,107,TR,88,880720
230,8801900238,1,107,TR,88,880190
231,3803330585,1,102,TR,38,380333
232,4804052040,1,101,TR,48,480405
233,4804052080,1,101,TR,48,480405
234,4804052000,1,101,TR,48,480405
235,8805090440,1,107,TR,88,880509
236,8830076400,1,107,TR,88,883007
237,2212220702,1,110,TR,22,221222
238,8801900239,1,107,TR,88,880190
239,8011560060,1,109,TR,80,801156
240,8011350380,1,109,TR,80,801135
241,1808790300,1,108,TR,18,180879
242,3803333743,1,102,TR,38,380333
243,8659623220,3,303,TR,86,865962
244,8666205900,3,303,TR,86,866620
245,8666700162,3,303,TR,86,866670
246,8666700165,3,303,TR,86,866670
247,8017067648,1,109,TR,80,801706
248,8017163120,1,109,TG,80,801716
249,8621150100,3,303,TR,86,862115
250,8621181040,3,303,TR,86,862118
251,2400940146,1,106,TR,24,240094
252,8611020020,3,303,TG,86,861102
253,8611400370,3,303,TR,86,861140
254,8654001000,3,303,TR,86,865400
255,1815180560,1,108,TR,18,181518
256,7001381640,1,103,TR,70,700138
257,4816520010,1,101,TR,48,481652
258,0709100520,1,101,TR,07,070910
259,8620503620,3,303,TR,86,862050
260,8010860710,1,109,TR,80,801086
261,8010882280,1,109,TG,80,801088
262,8012091342,1,109,TR,80,801209
263,8001200110,1,109,TR,80,800120
264,0610200140,1,101,TG,06,061020
265,9010540360,1,101,TR,90,901054
266,6805040140,1,103,TR,68,680504
267,0704600720,1,101,TG,07,070460
268,3802500020,1,102,TG,38,380250
269,2205264100,1,110,TR,22,220526
270,8616400700,3,303,TR,86,861640
271,4654340800,1,103,TR,46,465434
272,8632960320,3,303,TR,86,863296
273,7403461780,1,115,TR,74,740346
274,8666004640,3,303,TG,86,866600
275,4609402920,1,103,TR,46,460940
276,4609800840,1,103,TR,46,460980
277,4609402740,1,103,TR,46,460940
278,4609800680,1,103,TR,46,460980
